t,dy_left,dy_down,dy_up,dy_right,action
9.516,20,105,195,9999.0,0
9.539,15,100,190,9999.0,0
9.571,10,95,185,9999.0,0
9.592,555,90,180,9999.0,1
9.623,550,85,175,9999.0,0
9.654,545,80,170,9999.0,0
9.676,540,75,165,9999.0,0
9.706,535,70,160,9999.0,0
9.736,530,65,155,9999.0,0
9.758,525,60,150,9999.0,0
9.792,520,55,145,9999.0,0
9.813,515,50,140,9999.0,0
9.842,510,45,135,9999.0,0
9.873,505,40,130,9999.0,0
9.896,500,35,125,9999.0,0
9.927,495,30,120,9999.0,0
9.957,490,25,115,9999.0,0
9.979,485,20,110,9999.0,0
10.011,480,15,105,9999.0,0
10.033,475,10,100,9999.0,0
10.064,470,5,95,9999.0,0
10.095,465,275,90,9999.0,4
10.117,460,270,85,9999.0,0
10.148,455,265,80,9999.0,0
10.173,450,260,75,9999.0,0
10.215,445,255,70,9999.0,0
10.249,440,250,65,9999.0,0
10.294,435,245,60,9999.0,0
10.323,430,240,55,9999.0,0
10.37,425,235,50,9999.0,0
10.395,420,230,45,9999.0,0
10.428,415,225,40,9999.0,0
10.452,410,220,35,9999.0,0
10.487,405,215,30,9999.0,0
10.52,400,210,25,9999.0,0
10.544,395,205,20,9999.0,0
10.578,390,200,15,9999.0,0
10.6,385,195,10,9999.0,0
10.636,380,190,9999.0,9999.0,3
10.668,375,185,9999.0,9999.0,0
10.689,370,180,9999.0,9999.0,0
10.724,365,175,9999.0,9999.0,0
10.746,360,170,9999.0,9999.0,0
10.781,355,165,9999.0,9999.0,0
10.816,350,160,9999.0,9999.0,0
10.84,345,155,9999.0,9999.0,0
10.872,340,150,9999.0,9999.0,0
10.899,335,145,9999.0,9999.0,0
10.936,330,140,9999.0,665,0
10.959,325,135,9999.0,660,0
10.993,320,130,9999.0,655,0
11.026,315,125,9999.0,650,0
11.048,310,120,9999.0,645,0
11.082,305,115,9999.0,640,0
11.109,300,110,9999.0,635,0
11.151,295,105,9999.0,630,0
11.17,290,100,9999.0,625,0
11.201,285,95,9999.0,620,0
11.232,280,90,9999.0,615,0
11.255,275,85,9999.0,610,0
11.286,270,80,9999.0,605,0
11.319,265,75,9999.0,600,0
11.34,260,70,9999.0,595,0
11.372,255,65,9999.0,590,0
11.392,250,60,9999.0,585,0
11.421,245,55,9999.0,580,0
11.454,240,50,9999.0,575,0
11.477,235,45,9999.0,570,0
11.509,230,40,9999.0,565,0
11.529,225,35,9999.0,560,0
11.559,220,30,9999.0,555,0
11.592,215,25,9999.0,550,0
11.61,210,20,9999.0,545,0
11.641,205,15,9999.0,540,0
11.674,200,10,9999.0,535,0
11.693,195,5,9999.0,530,0
11.722,190,90,9999.0,525,4
11.752,185,85,9999.0,520,0
11.775,180,80,9999.0,515,0
11.808,175,75,9999.0,510,0
11.826,170,70,9999.0,505,0
11.858,165,65,9999.0,500,0
